adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,20500000,"[{'id': 18, 'name': 'Drama'}]",http://cosmopolisthefilm.com,49014,tt1480656,en,Cosmopolis,"Riding across Manhattan in a stretch limo in order to get a haircut, a 28-year-old billionaire asset manager's day devolves into an odyssey with a cast of characters that start to tear his world apart.",6.087109,/qN0EQOf8ikWmju4ECJW54vyRu7Q.jpg,"[{'name': 'France 2 Cinéma', 'id': 83}, {'name': 'Téléfilm Canada', 'id': 806}, {'name': 'Rai Cinema', 'id': 2683}, {'name': 'Prospero Pictures', 'id': 2844}, {'name': 'Alfama Films', 'id': 3061}, {'name': 'Canal+', 'id': 5358}, {'name': 'Jouror Productions', 'id': 12391}, {'name': 'Radiotelevisão Portuguesa (RTP)', 'id': 26019}, {'name': 'Leopardo Filmes', 'id': 44106}, {'name': 'Talandracas', 'id': 44107}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'PT', 'name': 'Portugal'}]",2012-05-25,6063556.0,109.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How far can he go before he goes too far?,Cosmopolis,False,5.1,337.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,46702,tt0123324,en,Why Do Fools Fall In Love,"In the mid-80s, three women (each with an attorney) arrive at the office of New York entertainment manager, Morris Levy. One is an L.A. singer, formerly of the Platters; one is a petty thief from Philly; one teaches school in a small Georgia town. Each claims to be the widow of long-dead doo-wop singer-songwriter Frankie Lyman, and each wants years of royalties due to his estate, money Levy has never shared. During an ensuing civil trial, flashbacks tell the story of each one's life with Lyman, a boyish, high-pitched, dynamic performer, lost to heroin. Slowly, the three wives establish their own bond.",0.897413,/nZ7UYOQ50C38wdWqOcNxCxZ6GB1.jpg,"[{'name': 'Rhino Films', 'id': 1591}, {'name': 'Warner Bros.', 'id': 6194}]",[],1998-08-28,12413650.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The story of three very different women.....with one husband in common.,Why Do Fools Fall In Love,False,6.4,12.0
False,,8000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",http://www.orionpictures.com/cityofindustry/,18420,tt0118859,en,City of Industry,"A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.",1.922014,/vIIMwG7d353nTKxt5RkxAzqIPrH.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Largo Entertainment', 'id': 1644}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-03-14,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Wanting a man dead can be reason enough to live.,City of Industry,False,5.6,14.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://miramax.com/movie/picture-bride/,30304,tt0114129,en,Picture Bride,"Riyo, an orphaned 17-year old, sails from Yokohama to Hawaii in 1918 to marry Matsuji, a man she has never met. Hoping to escape a troubled past and start anew, Riyo is bitterly disappointed upon her arrival: her husband is twice her age. The miserable girl finds solace with her new friend Kana, a young mother who helps Riyo accept her new life.",1.296912,/eREsgaAN2Br1Tlg9eDSBjHrb1AC.jpg,"[{'name': 'Cecile Company', 'id': 84839}, {'name': 'Thousand Cranes Filmworks', 'id': 84840}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-05-05,0.0,94.0,"[{'iso_639_1': 'tl', 'name': ''}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Picture Bride,False,7.4,5.0
False,"{'id': 209739, 'name': 'MacGyver (TV Movies) Collection', 'poster_path': '/AjdtAeXaqNQn5gW86obHsNsAJzk.jpg', 'backdrop_path': '/dMrINu0WxlNzU11y8OcWxtoeWqY.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,81895,tt0110419,en,MacGyver: Lost Treasure of Atlantis,"Hunting artifacts attributed to Zenon (an ancient scientist from Atlantis), MacGyver and his old professor end up searching for the lost city.",0.967882,/v7IlA1BfGIvG5fPkn9P8eO9IZP5.jpg,"[{'name': 'Gekko Film Corp.', 'id': 16677}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-05-14,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,MacGyver: Lost Treasure of Atlantis,False,5.6,19.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,166225,tt0371775,en,Khel,Two friends falling in love with the same girl leads to murder and intrigue.,0.073323,/eTV9G6spLsEV92pwOuhI8wDXelk.jpg,[],[],2003-11-11,0.0,174.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,No ordinary game!!!,Khel,False,5.0,1.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,5252,tt0341470,ko,밀애,"In revenge for her husband's infidelity, a young beautiful housewife, Mi-heun, starts an affair with an attractive young doctor, In-gyu. Despite her husband's efforts to regain her love and the disapproval by the conservative little town, Mi-huen gradually finds happiness and satisfaction in the affair and decides to turn her back on her quiet life.",1.878372,/AdlAqF8v9mdxrtGJIb0BFKGFuW5.jpg,"[{'name': 'CJ Entertainment', 'id': 7036}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2002-11-08,0.0,112.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,"An indecent affair, a daring love of a lifetime",Ardor,False,5.8,3.0
False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",,4975,tt0119577,en,Love Is the Devil: Study for a Portrait of Francis Bacon,"Biography of the British painter Francis Bacon. The movie focuses on his relationship with George Dyer, his lover. Dyer was a former small time crook.",1.354102,/wRYFf3o6JP4ezL5Ci8yF8m7EHf6.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1998-09-16,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Love Is the Devil: Study for a Portrait of Francis Bacon,False,6.7,19.0
False,,0,[],,126925,tt0006745,en,Gretchen the Greenhorn,"Gretchen Van Houck is just arriving in the USA, on a ship from Holland. She joins her father, who has already spent several years in America, where he owns an engraving business. In the tenement community where the Van Houcks live, there are residents of many nationalities. Gretchen soon becomes close friends with Pietro, a popular resident, and she also takes an interest in the widow Garrity and her children. Another resident, Rogers, is more mysterious. One day Rogers tells Mr. Van Houck that he could help him get a job printing money for the government. Van Houck eagerly agrees to try, but when he finds out what Rogers is really doing, he is placed in a painful dilemma.",0.153125,/tv9Wg30BtbYtNM8cxvErZCIwlku.jpg,[],[],1916-09-03,0.0,58.0,[],Released,,Gretchen the Greenhorn,False,5.5,2.0
False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",,132957,tt1935785,ko,미확인 동영상 : 절대클릭금지,"A horror movie about the mysterious happenings that happen to a pair of sisters after watching an unidentified video. Directed by Kim Tae-kyeong, Park Bo-yeong plays Se-hee who tries to save her sister Jeong-mi, her boyfriend Joo Won and Kang Byeol plays the sister.",2.325504,/aROQH67Y7TgkVKMkAbL6HvfapEY.jpg,[],"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2012-05-30,0.0,93.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,Don't Click,False,4.8,17.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,95359,tt0051074,en,This Could Be the Night,"To earn extra money, a prim schoolteacher takes a second job as secretary to the uncouth owner of a boisterous nightclub. Released in 1957, starring Jean Simmons, Paul Douglas, Anthony Franciosa, Joan Blondell, Julie Wilson, Rafael Campos, Neile Adams, ZaSu Pitts and J. Carrol Naish.",0.158073,/1kle9ybYSqPP0MfCQWNaeXG0ICS.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1957-05-14,0.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,This Could Be the Night,False,5.0,1.0
False,"{'id': 261590, 'name': 'Living Dead Collection', 'poster_path': '/mSJ20RTWWgtt3aTyn1iwNZ9fbYl.jpg', 'backdrop_path': '/inPPfnJ9Wzc9rg1MpkPm0P3D9rJ.jpg'}",2000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,13025,tt0848557,en,Diary of the Dead,A group of young film students run into real-life zombies while filming a horror movie of their own.,12.001324,/t1M7zONXBBR1HMekQiyctoBkVvh.jpg,"[{'name': 'Artfire Films', 'id': 3240}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-09-08,5364858.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Where will you be when the end begins?,Diary of the Dead,False,5.4,194.0
False,,22500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",,10142,tt0097027,en,Casualties of War,"During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager. Based on the actual events of an incident on Hill 192 in November, 1966.",7.435688,/vwIkjKYMrlewvxjLICR4v4cfGPN.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'TH', 'name': 'Thailand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1989-08-18,18671317.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Even in war... murder is murder.,Casualties of War,False,6.8,203.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",,172104,tt0023847,en,Broadway Thru a Keyhole,"Racketeer Frank Rocci is smitten with Joan Whelan, a dancer at Texas Guinan's famous Broadway night spot. He uses his influence to help her get a starring role in the show, hoping that it will also get Joan to fall in love with him. After scoring a hit, Joan accepts Frank's marriage proposal, more out of gratitude than love. The situation gets even stickier when she falls for a handsome band leader during a trip to Florida. Can she tell Frank she's in love with someone else?",0.299094,/biDncjUHbji0dknCONmaXKY6OPw.jpg,"[{'name': '20th Century Pictures', 'id': 4985}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-11-02,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Broadway Thru a Keyhole,False,0.0,0.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",,64551,tt0029584,en,The Soldier and the Lady,"Based on a story by Jules Verne and featuring battle footage from a French film version of the tale, this epic action-adventure follows a courageous courier of the Czar Alexander II as he struggles to deliver vital information to Russian troops fighting a losing battle against the invading Tartar hoards in Siberia.",0.038377,/wpXqgitlXfN3DcjPBFVCC2RJSZf.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1937-04-09,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Soldier and the Lady,False,0.0,0.0
False,,0,"[{'id': 53, 'name': 'Thriller'}]",,205076,tt0827179,en,Not My Life,"After a car accident, a woman with a seemingly perfect life begins to have visions that suggest she is not who she thinks she is.",0.713935,/tfNSvnqzLQRa9VoXhltmd2rrBhA.jpg,"[{'name': 'Insight Film Studios', 'id': 2865}, {'name': 'Cinetel Films', 'id': 10399}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-09-03,0.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Not My Life,False,3.5,2.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,78210,tt0253225,fr,Mademoiselle,"Claire is a young woman who leads a somewhat formatted life. Pierre is an improviser, but not an actor. Brief encounter, brief romance, doomed or not, who can say? When things like that happen, you act on the spur of the moment.",0.150525,/ieOwnIRhRxDmxqCzhc6mRPK6LKL.jpg,"[{'name': 'Cofimage 12', 'id': 5281}, {'name': 'Canal+', 'id': 5358}, {'name': 'Alicéléo', 'id': 8799}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2001-03-21,0.0,85.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Mademoiselle,False,5.8,3.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,41602,tt1196948,en,Charlie Countryman,"While traveling abroad, a guy falls for a Romanian beauty whose unreachable heart has its origins in her violent, charismatic ex.",9.609726,/jG95rLdI1V1pTEtAwSkKZR74AGm.jpg,"[{'name': 'Bona Fide Productions', 'id': 2570}, {'name': 'MediaPro Pictures', 'id': 11819}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-02-09,11650.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ro', 'name': 'Română'}]",Released,"The only way to save the one you love, is to die.",Charlie Countryman,False,6.4,267.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,38545,tt0100842,en,The Unbelievable Truth,"After serving time for murder, Josh Hutton returns to his home town where he meets Audry Hugo. No one can remember exactly what Josh did...",2.407454,/hNGeB4gwi50PaZEeCtNcK0WzXGX.jpg,"[{'name': 'Action Features', 'id': 5707}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1989-04-01,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Can a nice girl from Long Island find happiness with a mass murderer?,The Unbelievable Truth,False,7.4,18.0
False,"{'id': 243738, 'name': 'The Work and the Glory Collection', 'poster_path': '/t1gKSuUPja7SLhBgNnfB7b6Vkqn.jpg', 'backdrop_path': None}",7500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.workandtheglory.com/,36046,tt0410454,en,The Work and the Glory,"When Benjamin Steed and Mary Ann Steed relocate their family to upstate New York in the early 1800's, they unwittingly settle in a town divided along religious lines. After their new hired help turns out to be at the center of the uproar, each member of the Steed family must come to terms with their own beliefs in the face of heavy persecution. Together they struggle to weather the raging controversy surrounding a young man named Joseph Smith.",0.52757,/8H9hz3fsJpQsY5lUDloCWOuwoTW.jpg,[],[],2004-11-24,3347647.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One Man....A Remarkable Vision; One Family....A Desperate Struggle,The Work and the Glory,False,6.1,7.0
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,83201,tt2268617,en,Puss in Boots: The Three Diablos,"Puss in Boots is on a mission to recover the Princess' stolen ruby from the notorious French thief, Whisperer. Reluctantly accompanied by three little kittens, Three Diablos, Puss must tame them before they endanger the mission.",12.018446,/3L1fUwF4RbnMIvXOt0KYFFwfm2y.jpg,[],[],2011-12-08,0.0,13.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",Released,An All-New Adventure!,Puss in Boots: The Three Diablos,False,6.6,112.0
False,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,53211,tt0048449,en,One Froggy Evening,"A workman finds a singing frog in the cornerstone of an old building being demolished. But when he tries to cash in on his discovery, he finds the frog will sing only for him, and just croak for the talent agent and the audience in the theater he's spent his life savings on.",2.033049,/ezANN5E8ERGYQQFwhFwXv84zzqo.jpg,"[{'name': 'Warner Bros. Pictures', 'id': 174}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1955-12-30,0.0,7.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,My kind of frog!,One Froggy Evening,False,7.8,33.0
False,,0,[],,45537,tt0028464,fr,La vie est à nous,"A propaganda film of the communist party of France, showing how the comrades help the proletariat against the capitalists.",0.149962,/3pMUkJuNNtAhZM8VxULNWAGuXh0.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1936-04-07,0.0,66.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,La vie est à nous,False,6.7,3.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",http://wip.warnerbros.com/paradisenow/,67,tt0445620,en,Paradise Now,Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.,3.714186,/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg,"[{'name': 'Lama Films', 'id': 15}, {'name': 'Augustus Film', 'id': 89}, {'name': 'Lama Productions', 'id': 91}, {'name': 'Lumer Films', 'id': 93}, {'name': 'Hazazah Film', 'id': 95}, {'name': 'Filmstiftung Nordrhein-Westfalen', 'id': 315}, {'name': 'Razor Film Produktion GmbH', 'id': 703}, {'name': 'Eurimages', 'id': 850}, {'name': 'Nederlands Fonds voor de Film', 'id': 4508}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Medienboard Berlin-Brandenburg', 'id': 7307}]","[{'iso_3166_1': 'PS', 'name': 'Palestinian Territory'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IL', 'name': 'Israel'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2005-02-14,3357075.0,90.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"From the most unexpected place, come a  new call for peace.",Paradise Now,False,6.9,63.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,293082,tt3530690,en,"10,000 Days","10,000 Days ago, Comet 23 struck Earth with the magnitude of all the nuclear weapons in the world sending the planet into a deep freeze. Now, 27 years in the future, those who survived are locked in an epic battle of life or death.",1.807454,/fTP8fTm3QD8ZPINy3uCvYBs7SnD.jpg,"[{'name': 'Bahr Productions Inc.', 'id': 33199}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-11-23,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,"10,000 Days",False,3.0,4.0
False,"{'id': 123218, 'name': 'Troll Collection', 'poster_path': '/pyJAsz6hbAzkx5Kw9CvI8jRkOmw.jpg', 'backdrop_path': None}",0,"[{'id': 27, 'name': 'Horror'}]",,26914,tt0105643,en,Troll 2,A young child is terrified to discover that a planned family trip is to be haunted by vile plant-eating monsters out of his worst nightmare...,7.932049,/h03Huw7ZoyDrgBDc7GteshoJsnx.jpg,"[{'name': 'Filmirage', 'id': 6082}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-10-12,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The original boogeyman is back.,Troll 2,False,3.6,101.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.imdb.com/title/tt3455826/,306825,tt3455826,en,Deadly Daycare,"Rachel decides to take her three year old daughter to daycare. As the days pass, the woman feels that the teacher turns too with her daughter, reaching an almost obsessive relationship.",0.334359,/1l6PhSqr8ebgWyUJU4v1ix4BSJ.jpg,"[{'name': 'Feifer Worldwide', 'id': 10377}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-24,0.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Motherly love knows no bounds,Deadly Daycare,False,3.0,5.0
False,,0,"[{'id': 27, 'name': 'Horror'}]",,19444,tt0238059,en,Bad Karma,"Killer Krishnas, Bondage Beauties, Stupid Students and Rampaging Rednecks in the craziest, bloodiest short film you'll ever see!",0.00068,/b8BWNMGDiSbw9paA0vMgL1iV8gH.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1991-01-01,0.0,36.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Bad Karma,False,0.0,0.0
